huisnummer;postcode;woonplaats;lat;lon
138;8261CX;Kampen;52.5588678415937;5.91621650892094
309;8265XS;Kampen;52.544698897104205;5.909381542605179
24;8261HS;Kampen;52.5561786198056;5.9203383540215
39;7425BN;Deventer;52.25711031311279;6.224516742225321
9;8266AE;Kampen;52.546243133375505;5.92673555626437
32;8011AR;Zwolle;52.512169152378796;6.08371217710265
13;8043WN;Zwolle;52.538615014171;6.04351013211464
4;7412AN;Deventer;52.2584159454137;6.14907411605771
7;7421HC;Deventer;52.2450331806111;6.231470979992269
4;8262PS;Kampen;52.5639186949986;5.90375094427997
11;8262RN;Kampen;52.5630596712354;5.90519948185781
42;8043WD;Zwolle;52.5362298148976;6.043801942325129
49;8264DX;Kampen;52.5584186677886;5.89940851617531
2;8266LV;Kampen;52.5333202450598;5.9283974220317806
70;7413TS;Deventer;52.26245352888121;6.15442215848753
66;8023WS;Zwolle;52.5094559916665;6.11515453176916
95;7413XB;Deventer;52.261211184278096;6.16658557646564
3;8261HZ;Kampen;52.556502116451796;5.919145509002219
20;8261BZ;Kampen;52.5553884003059;5.91875046395968
85;8014NG;Zwolle;52.4954223538819;6.1092228059641505
482;8265AT;Kampen;52.54918921140929;5.913039072133699
23;8262EA;Kampen;52.562153570283606;5.90821079377769
43;8264DX;Kampen;52.558539616241504;5.89956338629755
14;8265DC;Kampen;52.55039811758161;5.90439999887238
15;8021AC;Zwolle;52.513709444713;6.102396353913901
13;8011BV;Zwolle;52.5126944343626;6.0863269327886
10;8024BW;Zwolle;52.52628341400229;6.1332414566633
28;8265KN;Kampen;52.5468967526213;5.897016472708451
19;8265EX;Kampen;52.5528310065019;5.9006898418457805
75;8264DX;Kampen;52.5583403594271;5.899877200470231
2;8263BB;Kampen;52.56526629556151;5.8955487069797
100;7416ZJ;Deventer;52.257771667490395;6.17091702472266
76;8032CN;Zwolle;52.5262420319854;6.111433152784589
35;8023SC;Zwolle;52.51236918016421;6.10542407548846
7;8025AM;Zwolle;52.507072991447494;6.11797712072648
64;8032EB;Zwolle;52.5285712312251;6.09637390796504
270;8265AL;Kampen;52.550516265428;5.91103050687446
131;8031ZS;Zwolle;52.5233753178637;6.084787832052809
163;8015AT;Zwolle;52.474100259338705;6.125351743301881
37;8262AM;Kampen;52.5642439647415;5.896350280243059
73;8266AK;Kampen;52.548538627182296;5.92552152899767
94;8265WB;Kampen;52.543997062974704;5.917101165058429
19;8016AM;Zwolle;52.4852265226;6.10488375332801
26;8266CN;Kampen;52.549802272186795;5.91910198624846
25;7416XR;Deventer;52.2595666913278;6.174468538631429
6;8013XE;Zwolle;52.5012309700848;6.115256048345821
62;8032BH;Zwolle;52.525196139493;6.105466723183321
186;7414VE;Deventer;52.2769183167432;6.138674921518941
40;8265JB;Kampen;52.551791755891294;5.89140579543249
44;8032AA;Zwolle;52.5250679517461;6.103340576602241
75;8262GV;Kampen;52.5575254906326;5.90566646083157
46;8266HE;Kampen;52.55204432486521;5.91575972667675
70;8042AJ;Zwolle;52.523070906292105;6.047792754460991
24;8265TC;Kampen;52.5378457037398;5.90772581919827
85;8264PA;Kampen;52.54932486698421;5.857520142331361
8;8014LE;Zwolle;52.4850344777802;6.1207101075911705
29;8262CD;Kampen;52.5625030784591;5.89794872432395
18;7413TE;Deventer;52.261485440513894;6.1532181751849295
1;7411AA;Deventer;52.2481918775615;6.16433883535188
101;8265XM;Kampen;52.5462526517264;5.90721713429113
19;7412PC;Deventer;52.2667718758644;6.13485117871542
18;7417XN;Deventer;52.255267257511605;6.174934352616219
30;7425GR;Deventer;52.2591923702451;6.21988341135525
22;8032BL;Zwolle;52.5262169432291;6.10714747698113
3;7424CS;Deventer;52.2591627975137;6.217700395769299
33;8011RW;Zwolle;52.512692482746104;6.09805290125561
85;8264PA;Kampen;52.54880156849111;5.857352535219481
15;8022SR;Zwolle;52.5234026567169;6.116002775315269
17;8021ZA;Zwolle;52.518835578447295;6.099892878912651
10;8031KK;Zwolle;52.527209159440496;6.08512103939034
8;7415CT;Deventer;52.2626321136982;6.17169564562993
5;8266JM;Kampen;52.5364398382663;5.93643461459114
53;8265MH;Kampen;52.5454833654574;5.89669108372134
25;7412XP;Deventer;52.2630647771704;6.14708915257951
51;8043TL;Zwolle;52.5360390022288;6.03755198233117
73;8265LR;Kampen;52.5525317065833;5.88846476451087
22;8014LB;Zwolle;52.4842202128;6.12003284400927
88;8264CD;Kampen;52.5565049245578;5.889131289875751
280;8265GK;Kampen;52.5549986125097;5.905655944061261
153;8012AM;Zwolle;52.50143409522921;6.10447163647186
40;8265CN;Kampen;52.5513448068169;5.906264043974839
54;8023VS;Zwolle;52.5112926989936;6.11064552250037
22;8266LR;Kampen;52.5343777001391;5.92690320022926
4;8265TL;Kampen;52.536182432405205;5.91528679691183
83;8265CB;Kampen;52.54969944671829;5.90837506255041
16;7423EG;Deventer;52.2553306450859;6.21045225000328
48;8011AR;Zwolle;52.5127919213501;6.08158910914101
23;7419AB;Deventer;52.2488846020444;6.147671515546841
8;8043VR;Zwolle;52.527887721698896;6.053921399367981
122;8262GB;Kampen;52.5596117247703;5.90163949598416
25;7411PT;Deventer;52.255063927826995;6.154540629439451
29;8261JR;Kampen;52.554949194759104;5.922087285596599
95;8033GA;Zwolle;52.5302830608043;6.10991547320454
35;8015AA;Zwolle;52.473146214669;6.125203141394009
11;7425HL;Deventer;52.2629889922974;6.22572606512916
1073;8031VG;Zwolle;52.5307133374579;6.08868650656778
7;7415AR;Deventer;52.264939459813206;6.161188911487209
7;8012AA;Zwolle;52.503674738315105;6.09855829497962
54;7416WL;Deventer;52.259954696872796;6.17424104484763
8;8262RS;Kampen;52.5629367272262;5.9056228470685195
62;8014ZG;Zwolle;52.4863843876015;6.106499714565589
444;7423ZJ;Deventer;52.251726794045;6.209881674513889
105;7417VC;Deventer;52.2558604931816;6.1869694279460195
4;7412VA;Deventer;52.2583818874774;6.14992122963889
10;8265EM;Kampen;52.554310424488705;5.8988091232481805
223;7413DG;Deventer;52.264341347873895;6.158320231579981
42;7415TL;Deventer;52.266467500561;6.16272127694455
13;7425HL;Deventer;52.2631069664353;6.22556715362637
73;8265TX;Kampen;52.5341606031237;5.91274723020529
309;8012WJ;Zwolle;52.5027425489019;6.11093161666018
11;8021BG;Zwolle;52.515335755968295;6.10221807298733
41;7423HB;Deventer;52.253084744557896;6.20377728594347
59;8262BP;Kampen;52.5637588288877;5.90429564866937
28;8016CW;Zwolle;52.48215962966889;6.101496425137169
11;7411CK;Deventer;52.251356128761394;6.165638909787719
25;8021DD;Zwolle;52.51778667381411;6.09286066512076
87;8265TZ;Kampen;52.53694688485479;5.914199137440571
44;8262AE;Kampen;52.56389012041579;5.895808182342511
55;7425CN;Deventer;52.255687567574604;6.228678794089181
58;8011JK;Zwolle;52.5063254253204;6.09560243009496
4;8265TW;Kampen;52.5366295527734;5.91537641229446
12;8261HD;Kampen;52.555002939902295;5.918616177457969
226;8016MZ;Zwolle;52.4750734811018;6.11056660917636
87;8032VB;Zwolle;52.52780454896;6.1066994004748
84;8261BB;Kampen;52.5574315661164;5.91667689576169
3;8024BC;Zwolle;52.5233087955957;6.13656095585927
48;8033AV;Zwolle;52.53302693852589;6.11244737451659
60;8012CA;Zwolle;52.50754917950871;6.099813127931251
127;8014VH;Zwolle;52.483184694817;6.1148975886645305
22;8011MP;Zwolle;52.5124450765195;6.089105033441731
19;8262BM;Kampen;52.5637230706972;5.90665384056937
96;8261GG;Kampen;52.5577370525292;5.913969236432281
29;8266CK;Kampen;52.5500282352331;5.9182486609371905
17;8012TR;Zwolle;52.5052266279279;6.09770105793255
70;8261HT;Kampen;52.5572773673993;5.91892689132792
22;8022PD;Zwolle;52.5158970386288;6.1091561414441395
17;8261AB;Kampen;52.55666484630029;5.9203642584817
92;8261HG;Kampen;52.557407008151294;5.91589770505411
43;8262EL;Kampen;52.5615390101676;5.90953277997296
10;7425RE;Deventer;52.266017381906096;6.23053381909408
16;7412VR;Deventer;52.259620264179;6.14879362240319
54;8266AM;Kampen;52.5494476597949;5.92479139209026
21;8265ED;Kampen;52.5546527009614;5.90337899124604
34;8017HN;Zwolle;52.500209065697206;6.0924148754870995
61;8262GH;Kampen;52.560094835127494;5.9010037056033005
107;8265LS;Kampen;52.551888153480796;5.887782228698731
43;8031EG;Zwolle;52.5244394571852;6.077461737584981
98;8011XV;Zwolle;52.51548127144439;6.09560116337466
26;7412CC;Deventer;52.258956399475004;6.14267323923433
60;7417VH;Deventer;52.255329592409105;6.1857296122909995
128;7413AT;Deventer;52.26253132937121;6.15695755774186
4;7411AR;Deventer;52.2492458075424;6.166714935558679
31;8017NX;Zwolle;52.49532172480479;6.09800758161317
4;7414KC;Deventer;52.274251776146706;6.1350321250532405
100;8265WC;Kampen;52.5441141372921;5.91589735039429
26;7421GA;Deventer;52.243005206692494;6.224448827410389
13;8011NA;Zwolle;52.510773332529205;6.09067922836987
46;8262PD;Kampen;52.5648054493839;5.90658696994875
81;8261VD;Kampen;52.5570195737586;5.91395079872014
2;8262BB;Kampen;52.5628098500772;5.89969236450125
195;8031AP;Zwolle;52.5224919352724;6.087180733645459
14;8265TH;Kampen;52.5363945061952;5.91647120591841
6;8265MR;Kampen;52.5471509231855;5.89447939637184
23;7414CC;Deventer;52.273883920029604;6.14853864055628
33;8265TD;Kampen;52.5370866721451;5.90899028101392
16;8265DC;Kampen;52.5507091956826;5.90399406766669
22;8262EB;Kampen;52.562162152188606;5.90690109333063
18;8265SW;Kampen;52.53853367513;5.913062787250411
14;8265MJ;Kampen;52.5459137966117;5.8977954328317
14;8014ZW;Zwolle;52.4849257758204;6.110155908164099
15;8261BK;Kampen;52.5602540849611;5.9137841268767595
35;7425CH;Deventer;52.2554681815489;6.226668115621621
22;8262DN;Kampen;52.561102302326404;5.90628448010355
26;8265SW;Kampen;52.5387212968443;5.9133626774771795
26;8264BH;Kampen;52.5563982742307;5.8947412137824
1;7414BJ;Deventer;52.272584347773;6.15027790387759
29;8033CG;Zwolle;52.5374070140605;6.11136229999355
69;7414BB;Deventer;52.2758204755086;6.14370365522122
33;7422MJ;Deventer;52.2484113063796;6.20954733739498
44;7414VM;Deventer;52.2780825608417;6.141342402686879
1;7425GW;Deventer;52.25988838846911;6.221873872393731
53;7415JR;Deventer;52.267028349672394;6.16746612577342
23;8043AJ;Zwolle;52.5347921552695;6.067708887042509
16;8265EJ;Kampen;52.554670560005;5.90277294407454
28;8265GJ;Kampen;52.555372360594795;5.90368973875664
31;7412AA;Deventer;52.25920741334121;6.148375301179991
4;8013XD;Zwolle;52.50135154427171;6.114451117546309
2;8265RG;Kampen;52.5423254393585;5.907754216970099
124;8031KZ;Zwolle;52.5298936097359;6.0861389086358795
6;8265TN;Kampen;52.5361922390355;5.91727764778826
57;8031JH;Zwolle;52.529011703609804;6.0777690904877995
14;8024CR;Zwolle;52.5210777517284;6.13856914120867
111;7423CC;Deventer;52.2570630965694;6.210777246314139
18;7414HN;Deventer;52.2778599551174;6.14662851781572
23;8262PC;Kampen;52.56429899756989;5.906629332126331
36;8043VJ;Zwolle;52.527881303019704;6.055187028126321
140;7411AM;Deventer;52.247509158652704;6.168368511098519
7;7419CA;Deventer;52.2501598363891;6.1450426903648605
420;7423AK;Deventer;52.251987983605794;6.206889870156
22;8011MC;Zwolle;52.5129744626126;6.09168372686213
76;8014RB;Zwolle;52.482177128227704;6.113215392921281
45;8014DH;Zwolle;52.4887523066384;6.11533894238485
2;7424GM;Deventer;52.265246204267704;6.21816326911456
10;8024CJ;Zwolle;52.521061152582504;6.14121342152614
21;8264PB;Kampen;52.557558986813405;5.896230162349111
6;8262DT;Kampen;52.5612576681727;5.908519261070619
118;7422MZ;Deventer;52.245915972797796;6.213714883507969
140;8022AK;Zwolle;52.5193261515112;6.11186764167928
5;8024XG;Zwolle;52.5206168366364;6.13694608686899
119;8261EV;Kampen;52.56054476006639;5.91248072043697
36;8016ED;Zwolle;52.4857952359091;6.10264416316061
213;7412PP;Deventer;52.26810216591189;6.13660597656645
24;8032MJ;Zwolle;52.536454682656;6.09604184495139
13;8017MB;Zwolle;52.4923335164034;6.09721846060549
20;7425BJ;Deventer;52.2573309023491;6.22236328896366
80;8265WJ;Kampen;52.5463481261349;5.916167408665349
20;8032TV;Zwolle;52.537465548073996;6.10047649059703
35;8262RE;Kampen;52.562286481967405;5.9034147148221505
22;8021EP;Zwolle;52.519250701166;6.093213392107621
30;8041AB;Zwolle;52.5152308018422;6.076946375749639
454;8043VV;Zwolle;52.5296820630004;6.05454177270378
43;8265LL;Kampen;52.55098506492661;5.8901632690147805
52;7411CJ;Deventer;52.2522023032266;6.16627349282465
789;8031TK;Zwolle;52.53030274597771;6.08070435095821
96;8022PM;Zwolle;52.517602096473894;6.111062501691
409;8031EM;Zwolle;52.5251605067751;6.08370675653465
11;8265SM;Kampen;52.539442114169795;5.90709545211947
11;8012WB;Zwolle;52.5053218154037;6.09691160997095
25;7415HA;Deventer;52.26951531028111;6.17309846118708
82;8031DS;Zwolle;52.521899211979296;6.09156747281319
122;8011RL;Zwolle;52.5135181838486;6.098797542717089
23;7417BM;Deventer;52.25270981362289;6.18900705452417
115;8043CR;Zwolle;52.5341505754875;6.0710376423934695
135;7412HJ;Deventer;52.265469103037795;6.130576133573401
29;7413BP;Deventer;52.262076409836;6.16362475164909
81;8024CX;Zwolle;52.5244054383286;6.13801905842446
28;8016BK;Zwolle;52.4814187561662;6.10743404578182
14;8011DB;Zwolle;52.51247348654329;6.082950207763361
33;8011MK;Zwolle;52.51263855538671;6.090009070209839
392;7424DA;Deventer;52.264002018491205;6.217190152678349
205;8265GH;Kampen;52.556011126203394;5.9037563954272
11;7421CJ;Deventer;52.244358594306895;6.20941463415646
28;7415SB;Deventer;52.2652224029138;6.16686184251102
70;7415JB;Deventer;52.2695977465626;6.1749114262503095
53;7425CD;Deventer;52.256201400543006;6.22972841099684
84;8264CE;Kampen;52.5569594000096;5.8896170141034005
11;7411HC;Deventer;52.25382443004129;6.15990378584584
2;8262EA;Kampen;52.56239382114779;5.90909841625705
1;7417TR;Deventer;52.254045589476696;6.1864951601228295
8;8266KD;Kampen;52.536774139422505;5.926496743731231
73;8015CH;Zwolle;52.4759371617101;6.1210866021987
43;7425RR;Deventer;52.2671140763774;6.23174641181466
4;7412TK;Deventer;52.2623220880426;6.137793926718871
34;7411BT;Deventer;52.2514230739118;6.160557133547231
25;8266DD;Kampen;52.5497084923334;5.92225587936725
1;8266KS;Kampen;52.535611385207304;5.9316399908991695
27;8265KA;Kampen;52.5494634495296;5.896201947238951
13;8263AL;Kampen;52.561081854110405;5.89068358794189
179;7411CV;Deventer;52.251114451865796;6.16713272788162
101;8262WH;Kampen;52.5615165784338;5.89885723089803
20;7425GK;Deventer;52.261798992549;6.22242241687229
148;8266BX;Kampen;52.5480028668086;5.922082021671491
15;8266HC;Kampen;52.55111325496839;5.91391513958104
29;7423BN;Deventer;52.2516327962924;6.2145102310992
7;8011NG;Zwolle;52.5101342814528;6.0932151619291295
15;8266LB;Kampen;52.531825179949294;5.92790601185457
28;8262PH;Kampen;52.5645245673621;5.90529561572922
212;7423ZD;Deventer;52.252414931166705;6.20874497402146
8;8043VJ;Zwolle;52.5287812944262;6.05656505041899
52;8265RX;Kampen;52.54440819705871;5.9078666891196905
44;8014NZ;Zwolle;52.493021423285505;6.1092298859282
9;7411LR;Deventer;52.2553334651303;6.1525440887013305
5;8012XH;Zwolle;52.501654176496;6.108188384198541
24;8261GT;Kampen;52.557694397007296;5.91242434430783
24;8261HS;Kampen;52.5559299707903;5.92001109459445
10;8266KP;Kampen;52.5360161141892;5.9314621213360095
136;7413AV;Deventer;52.2632034194015;6.156890702744089
38;7411CC;Deventer;52.2500967619462;6.158134095295099
16;8011SH;Zwolle;52.511321833800004;6.09848680882213
12;8032TC;Zwolle;52.53830630127379;6.09767005335402
31;8262WB;Kampen;52.55985041158689;5.89890549116246
25;7412NN;Deventer;52.2703194239542;6.13538816988011
67;8265TV;Kampen;52.5348692312866;5.916691315321209
92;7415XZ;Deventer;52.271098037749006;6.15924495302911
15;7421CR;Deventer;52.2435152424092;6.21141052868988
17;8265RB;Kampen;52.543870657789405;5.9096748641755
3;7415JN;Deventer;52.265619345951606;6.16870219388145
16;7423DP;Deventer;52.2562382952728;6.2078912780379705
116;7422NG;Deventer;52.247407450258294;6.21000056921739
18;8032ZB;Zwolle;52.5341782608773;6.09759427741222
19;8265ZB;Kampen;52.5451865864438;5.91227614624679
13;7415XT;Deventer;52.2734634208031;6.16013379177626
30;8265MC;Kampen;52.546038383298296;5.90065011155583
4;8042HX;Zwolle;52.518939614455995;6.0448131506373795
9;8262EA;Kampen;52.5624411122566;5.90899220337345
72;7411GW;Deventer;52.253571217967796;6.163766977100299
17;8265MG;Kampen;52.545640592611;5.89672204504625
11;8034PW;Zwolle;52.5326882705429;6.11933204366346
11;8263AN;Kampen;52.562616466230295;5.8947928568274905
10;7424DK;Deventer;52.261201917996;6.211454452670929
40;7415DJ;Deventer;52.2699841484614;6.15569967734126
24;8261KE;Kampen;52.55448425674021;5.92037227472196
129;8031RE;Zwolle;52.5302820889939;6.07585414150491
43;8023AD;Zwolle;52.516774588693295;6.11293360217489
43;7412VT;Deventer;52.2589083588136;6.14735952660833
11;7419BK;Deventer;52.2492600464063;6.14659427476128
6;8026PL;Zwolle;52.488094368092696;6.1709789941577995
1;7421AV;Deventer;52.244648363225004;6.21851647609205
8;8033AL;Zwolle;52.533759046524104;6.11038184083374
605;8031GE;Zwolle;52.5284703610555;6.07554914556101
22;8011GL;Zwolle;52.5062976314038;6.0941467049512505
156;8261CZ;Kampen;52.5593898572817;5.91568540668844
46;7415EW;Deventer;52.26565721303571;6.170928639282071
5;7412NA;Deventer;52.26704676895471;6.14109664396093
42;8262GD;Kampen;52.56043412332539;5.90242233474705
14;8028PA;Zwolle;52.52431897043329;6.16766565833747
13;8016ND;Zwolle;52.4753961405223;6.10254696927403
1;8265RM;Kampen;52.541863470551995;5.90689075021723
23;8024XD;Zwolle;52.521531016237105;6.139028565230349
28;7414CE;Deventer;52.2736692315865;6.15039141034637
19;7415ZM;Deventer;52.272001033414895;6.1664944915046505
19;8023CE;Zwolle;52.5117103309152;6.119389827771929
228;8022AM;Zwolle;52.52027769440989;6.112833682080599
15;8262VA;Kampen;52.5592042789085;5.90543945095449
10;8261LA;Kampen;52.5528580565981;5.92021740394713
25;7412WL;Deventer;52.2601581852034;6.145886830234151
18;8011CJ;Zwolle;52.5077178338408;6.088619091709419
27;8011LB;Zwolle;52.5109226253449;6.086938818257741
1;7414BJ;Deventer;52.27233643805779;6.150241767248829
51;8031XB;Zwolle;52.527977848005705;6.0894006446557105
98;8261GG;Kampen;52.5579236007135;5.913882752794009
9;8265EN;Kampen;52.5541686415284;5.90071479800688
109;7413EN;Deventer;52.2627288170363;6.15250989159607
59;8017GM;Zwolle;52.5002551148507;6.09049506701255
90;8266CR;Kampen;52.5483438476906;5.921425821911139
1;8041AT;Zwolle;52.5087493012757;6.0577771878879
8;8261BR;Kampen;52.5590905445504;5.914642336962251
46;8265RA;Kampen;52.5428503080669;5.912904384309781
3;8032CR;Zwolle;52.5277774019903;6.11312657318345
10;7413RH;Deventer;52.264314564085204;6.1541780861991
132;8261CX;Kampen;52.5587447743257;5.9164248733325895
66;7411ZC;Deventer;52.247638328783296;6.164461178512651
49;8265SJ;Kampen;52.539171057492;5.90514046622896
39;8014AX;Zwolle;52.4876943674571;6.106632700778951
68;8022EH;Zwolle;52.52253503610021;6.103090393680151
127;8265KS;Kampen;52.5466032936129;5.897230499896961
33;8033AC;Zwolle;52.532349219763795;6.10913057192338
45;8043JT;Zwolle;52.541236808623;6.06381789313264
2;8017NV;Zwolle;52.49473804049279;6.09781572829959
35;8266KL;Kampen;52.535826058911105;5.931559675824749
293;8043LX;Zwolle;52.53318217437611;6.05473491564596
13;7412VL;Deventer;52.258994086764005;6.148883293021599
12;8014TP;Zwolle;52.4803353313663;6.116261035390401
16;8032DD;Zwolle;52.5276954087121;6.09886864873245
53;7412RL;Deventer;52.2650291146186;6.1347046861842
52;7417VH;Deventer;52.2553573455381;6.18561294174944
55;8265GJ;Kampen;52.5556102132504;5.90414134367477
22;7412VN;Deventer;52.2593727313361;6.1499638091669
190;8023TL;Zwolle;52.512313436037296;6.106459768200179
5;8265ZH;Kampen;52.5461502736322;5.909464669411861
106;8265DR;Kampen;52.5503147815666;5.90026249353261
41;7413BS;Deventer;52.263064842823404;6.16136626051291
7;8011XH;Zwolle;52.513564912186006;6.09620395608967
27;7411EX;Deventer;52.2515768167846;6.16203125783463
3;7412DN;Deventer;52.2634538560511;6.146392662929161
109;7419AD;Deventer;52.251778952006;6.14344469217576
64;8264DX;Kampen;52.558377751171;5.8999698141615795
6;7412WS;Deventer;52.259691086234;6.1472410764353205
1;8265TA;Kampen;52.538880222012;5.90879905304743
60;8262GD;Kampen;52.560793396121205;5.90281687400432
8;8266LT;Kampen;52.5336643815229;5.927547869669191
23;8022PG;Zwolle;52.5161633592492;6.10798130024161
18;8011AK;Zwolle;52.5115017560915;6.08542496257042
19;7413PC;Deventer;52.26435016254129;6.149927794660781
137;8014CS;Zwolle;52.4876662003602;6.11619618723451
70;8025BD;Zwolle;52.50951621317161;6.12286188312547
